,Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,Device Information,Network Segment,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Source Network,Destination Network,Source IP Continent,Source IP Country,Destination IP Continent,Destination IP Country
0,2022-01-01 16:29:59,47.110.78.44,93.82.7.181,10498,35012,TCP,1114,Data,FTP,"Ipsa consectetur nulla molestiae.
Eum dolor nesciunt. Animi velit velit numquam. Facere pariatur blanditiis excepturi.",IoC Detected,94.41,Alert Triggered,Intrusion,Known Pattern A,Blocked,High,Opera/9.49.(X11; Linux x86_64; ss-ZA) Presto/2.9.180 Version/11.00,Segment B,,,,Server,,93.82.0.0/15,,,Europe,Austria
1,2022-01-02 06:41:40,150.237.223.140,195.137.227.149,19241,50829,TCP,869,Data,HTTP,"Dolores suscipit eaque consequatur. Distinctio dolorem asperiores fuga earum. Nihil error suscipit nihil.
Cum iure facere at impedit fugit illum quod.",IoC Detected,61.12,,DDoS,Known Pattern B,Blocked,Medium,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/17.0k0148.0 Mobile/57X052 Safari/535.2",Segment C,218.136.32.18,,Alert Data,Firewall,150.237.0.0/16,195.137.226.0/23,Europe,United Kingdom,Europe,Ukraine
2,2022-01-03 00:02:21,129.4.179.142,194.169.247.114,44455,46510,TCP,171,Control,FTP,Harum cupiditate deserunt iusto. Asperiores unde voluptas facilis.,,11.86,Alert Triggered,Intrusion,Known Pattern A,Blocked,Low,Mozilla/5.0 (Android 11; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0,Segment A,150.44.249.211,,,Server,,194.169.247.0/24,,,Europe,Russia
3,2022-01-03 09:15:39,37.135.46.119,98.206.212.30,40729,65426,UDP,1091,Control,FTP,"Quo nobis molestias esse iste ea quae. Dolorem perspiciatis voluptate aut veritatis maiores.
Necessitatibus labore quidem hic exercitationem. Sequi repellat quasi fuga alias rerum.",IoC Detected,18.37,,DDoS,Known Pattern A,Blocked,Low,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/3469-06-22 07:40:30 Firefox/3.8,Segment B,46.207.16.120,Log Data,Alert Data,Server,37.132.0.0/14,,Europe,Spain,,
4,2022-01-03 18:04:06,143.233.181.85,107.146.5.56,62176,57985,ICMP,870,Control,FTP,"Architecto delectus magnam nemo ipsam consequuntur. Tempora alias dicta tenetur nisi. Eius porro ratione vero.
Aperiam voluptatem repellat excepturi aliquam sed omnis voluptatibus.",IoC Detected,30.74,Alert Triggered,DDoS,Known Pattern B,Blocked,High,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),Segment A,12.251.225.181,Log Data,,Firewall,143.233.0.0/16,,Europe,Greece,,
5,2022-01-03 20:30:12,2.254.159.192,70.203.152.82,55255,10083,ICMP,611,Control,FTP,Aliquid laborum quia unde a voluptatum. Similique cupiditate vitae quam ullam itaque minima. Velit architecto accusantium beatae. Quisquam incidunt cumque labore nisi consectetur.,IoC Detected,79.23,,Malware,Known Pattern A,Blocked,High,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.0),Segment B,,,,Server,2.248.0.0/13,,Europe,Sweden,,
6,2022-01-04 00:09:40,28.13.33.47,86.156.197.116,32636,17896,ICMP,334,Data,FTP,Iusto consectetur qui placeat animi repellat iste architecto. Nihil corporis earum neque enim accusamus.,,54.12,,Intrusion,Known Pattern B,Ignored,Low,Opera/9.91.(X11; Linux x86_64; ha-NG) Presto/2.9.175 Version/12.00,Segment C,,,Alert Data,Firewall,,86.128.0.0/10,,,Europe,United Kingdom
7,2022-01-04 09:38:21,1.42.23.106,161.79.85.238,6117,54032,UDP,527,Control,HTTP,Adipisci eligendi esse animi sit doloribus. Molestiae labore magni molestias inventore qui delectus. Iure aliquam deserunt harum unde corporis quis.,IoC Detected,60.11,,DDoS,Known Pattern A,Blocked,High,Opera/9.57.(X11; Linux x86_64; pap-AN) Presto/2.9.179 Version/10.00,Segment A,,Log Data,,Server,1.40.0.0/14,161.79.0.0/16,Oceania,Australia,South America,Brazil
8,2022-01-04 14:46:58,202.124.9.253,105.15.54.147,38175,8934,UDP,487,Data,DNS,Repudiandae dolores praesentium in illo. Quisquam facere accusantium corporis error ea possimus quibusdam. Perferendis possimus aut reiciendis.,IoC Detected,45.1,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Opera/9.98.(X11; Linux x86_64; sc-IT) Presto/2.9.164 Version/10.00,Segment B,,Log Data,,Server,202.124.0.0/20,105.0.0.0/12,Asia,Japan,Africa,South Africa
9,2022-01-05 05:38:10,182.99.64.156,185.128.8.183,38068,21394,TCP,1197,Data,HTTP,Dolore eveniet optio quis praesentium sit fugit. Ab voluptatum veniam eos. Sapiente officiis fugiat nesciunt. Doloremque id atque nesciunt veniam officia aliquam.,,56.34,,DDoS,Known Pattern B,Ignored,Low,Mozilla/5.0 (Windows CE; ayc-PE; rv:1.9.1.20) Gecko/7224-09-18 12:16:19 Firefox/3.8,Segment A,,Log Data,Alert Data,Firewall,182.96.0.0/11,,Asia,China,,
10,2022-01-05 19:08:36,125.119.188.1,209.233.6.38,23469,57393,UDP,714,Control,HTTP,Accusantium modi in necessitatibus. Ad eos fugiat assumenda pariatur quaerat illo.,,3.98,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,"Mozilla/5.0 (Windows 95) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/46.0.854.0 Safari/535.1",Segment A,,Log Data,,Server,125.112.0.0/12,,Asia,China,,
11,2022-01-06 04:43:36,223.66.124.176,64.179.186.56,32746,35516,UDP,289,Data,HTTP,"Odit exercitationem earum. Alias sint voluptates voluptatem adipisci deserunt.
Ratione similique sit non iure aut labore. Deserunt quas mollitia itaque nam reiciendis non.",IoC Detected,10.1,,Malware,Known Pattern A,Ignored,Medium,"Mozilla/5.0 (Linux; Android 4.3) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/23.0.871.0 Safari/536.1",Segment B,,Log Data,,Server,223.64.0.0/11,,Asia,China,,
